facility_id,timestamp,electricity_kwh,water_liters,hvac_kwh,lighting_kwh,solar_generation_kwh,power_factor,temperature,humidity
FAC-001,2026-06-26 17:00:00,434.69,1198.7,235.78,102.98,33.13,0.96,24.9,56.2
FAC-001,2026-06-26 18:00:00,439.54,969.0,196.38,108.47,0.0,0.97,21.6,37.8
FAC-001,2026-06-26 19:00:00,417.35,1107.5,221.36,90.32,0.0,0.96,21.6,45.1
FAC-001,2026-06-26 20:00:00,162.73,414.5,85.95,36.36,0.0,0.93,17.5,43.8
FAC-001,2026-06-26 21:00:00,172.97,396.2,84.21,42.08,0.0,0.96,17.4,50.6
FAC-001,2026-06-26 22:00:00,188.66,451.7,84.73,46.2,0.0,0.94,18.2,47.3
FAC-001,2026-06-26 23:00:00,179.76,383.4,82.91,33.31,0.0,0.93,15.1,51.0
FAC-001,2026-06-27 00:00:00,140.44,354.0,76.76,29.94,0.0,0.93,14.6,39.2
FAC-001,2026-06-27 01:00:00,136.56,323.9,60.3,25.73,0.0,0.93,16.2,52.3
FAC-001,2026-06-27 02:00:00,150.9,402.7,77.2,28.03,0.0,0.98,16.1,55.2
FAC-001,2026-06-27 03:00:00,136.73,326.6,62.52,28.16,0.0,0.96,17.6,53.7
FAC-001,2026-06-27 04:00:00,138.3,333.1,72.29,33.56,0.0,0.96,18.8,48.3
FAC-001,2026-06-27 05:00:00,138.68,315.1,66.43,25.16,0.0,0.93,19.3,57.3
FAC-001,2026-06-27 06:00:00,148.13,311.5,78.89,31.83,0.0,0.96,22.7,45.8
FAC-001,2026-06-27 07:00:00,139.02,319.2,66.34,31.31,0.0,0.99,22.8,37.5
FAC-001,2026-06-27 08:00:00,199.55,432.0,89.97,38.53,28.62,0.98,25.1,45.3
FAC-001,2026-06-27 09:00:00,207.77,546.1,100.09,51.5,61.95,0.94,26.7,58.2
FAC-001,2026-06-27 10:00:00,236.63,537.9,110.36,55.34,75.11,0.95,26.4,37.9
FAC-001,2026-06-27 11:00:00,236.01,572.0,119.32,45.03,96.4,0.92,26.7,36.6
FAC-001,2026-06-27 12:00:00,244.51,632.6,130.88,48.37,109.34,0.96,27.7,43.7
FAC-001,2026-06-27 13:00:00,269.03,730.6,149.43,50.77,110.44,0.93,28.5,49.4
FAC-001,2026-06-27 14:00:00,240.78,519.7,128.43,46.74,89.93,0.98,27.3,44.0
FAC-001,2026-06-27 15:00:00,247.33,586.9,132.61,52.12,78.33,0.94,26.3,40.8
FAC-001,2026-06-27 16:00:00,239.74,509.2,120.03,58.37,59.03,0.99,24.5,38.5
FAC-001,2026-06-27 17:00:00,238.45,512.5,119.07,57.84,31.8,0.94,24.3,35.8
FAC-001,2026-06-27 18:00:00,230.83,489.3,125.57,47.08,0.0,0.98,21.7,54.9
FAC-001,2026-06-27 19:00:00,198.99,497.8,104.25,45.85,0.0,0.97,19.7,43.6
FAC-001,2026-06-27 20:00:00,153.41,364.0,77.6,31.92,0.0,0.99,19.3,47.6
FAC-001,2026-06-27 21:00:00,132.9,325.2,72.21,32.59,0.0,0.97,18.4,38.8
FAC-001,2026-06-27 22:00:00,146.46,397.3,71.05,33.91,0.0,0.98,15.6,59.6
FAC-001,2026-06-27 23:00:00,135.35,326.7,74.4,32.6,0.0,0.96,14.9,43.4
FAC-001,2026-06-28 00:00:00,132.59,321.8,62.76,27.56,0.0,0.98,15.5,53.4
FAC-001,2026-06-28 01:00:00,137.65,298.3,67.29,26.13,0.0,0.95,17.4,44.1
FAC-001,2026-06-28 02:00:00,147.05,318.8,63.48,33.3,0.0,0.99,16.5,37.1
FAC-001,2026-06-28 03:00:00,144.05,371.6,73.09,26.61,0.0,0.93,16.9,39.8
FAC-001,2026-06-28 04:00:00,143.36,372.5,72.17,26.46,0.0,0.95,18.8,45.0
FAC-001,2026-06-28 05:00:00,136.06,370.2,61.72,32.7,0.0,0.95,20.9,45.2
FAC-001,2026-06-28 06:00:00,197.31,434.0,128.25,35.89,0.0,0.94,20.6,37.6
FAC-001,2026-06-28 07:00:00,136.59,302.6,70.32,26.86,0.0,0.97,24.5,44.9
FAC-001,2026-06-28 08:00:00,198.18,416.5,92.77,48.11,26.9,0.83,25.2,45.5
FAC-001,2026-06-28 09:00:00,232.77,573.8,110.43,46.13,56.07,0.94,26.0,48.8
FAC-001,2026-06-28 10:00:00,226.26,603.1,125.19,52.82,74.32,0.95,28.1,45.6
FAC-001,2026-06-28 11:00:00,341.09,900.9,221.71,67.55,89.44,0.99,26.8,41.8
FAC-001,2026-06-28 12:00:00,389.1,976.3,252.92,77.5,106.52,0.98,26.5,38.4
FAC-001,2026-06-28 13:00:00,270.8,586.6,137.48,60.13,108.98,0.98,27.4,48.0
FAC-001,2026-06-28 14:00:00,241.87,536.1,127.21,44.94,98.89,0.95,26.8,53.0
FAC-001,2026-06-28 15:00:00,254.34,653.0,125.11,57.6,87.81,0.84,26.5,36.3
FAC-001,2026-06-28 16:00:00,248.06,519.5,117.44,58.04,52.76,0.97,25.6,45.9
FAC-001,2026-06-28 17:00:00,245.9,606.1,131.29,56.22,28.54,0.95,24.8,38.4
FAC-001,2026-06-28 18:00:00,219.61,563.8,99.72,47.86,0.0,0.98,22.6,56.2
FAC-001,2026-06-28 19:00:00,207.65,564.8,95.26,51.73,0.0,0.92,21.7,39.5
FAC-001,2026-06-28 20:00:00,153.57,346.2,66.71,35.14,0.0,0.98,20.3,46.9
FAC-001,2026-06-28 21:00:00,151.94,314.0,71.64,36.17,0.0,0.96,16.6,36.9
FAC-001,2026-06-28 22:00:00,140.31,318.1,73.55,25.9,0.0,0.96,16.3,50.6
FAC-001,2026-06-28 23:00:00,146.67,391.1,67.51,26.65,0.0,0.92,16.3,58.5
FAC-001,2026-06-29 00:00:00,190.02,442.6,90.37,44.41,0.0,0.95,17.1,59.6
FAC-001,2026-06-29 01:00:00,173.68,384.2,84.2,40.23,0.0,0.93,15.6,42.4
FAC-001,2026-06-29 02:00:00,163.11,383.0,70.52,40.64,0.0,0.95,16.0,58.7
FAC-001,2026-06-29 03:00:00,164.44,447.3,79.64,39.72,0.0,0.95,16.8,59.8
FAC-001,2026-06-29 04:00:00,188.47,454.0,96.96,41.94,0.0,0.94,18.2,39.7
FAC-001,2026-06-29 05:00:00,171.78,459.7,75.16,42.57,0.0,0.98,19.5,44.9
FAC-001,2026-06-29 06:00:00,181.52,399.6,81.69,43.04,0.0,0.94,22.3,49.5
FAC-001,2026-06-29 07:00:00,186.63,509.1,86.69,35.29,0.0,0.98,24.0,48.8
FAC-001,2026-06-29 08:00:00,409.91,982.6,196.12,81.24,31.39,0.93,25.5,36.9
FAC-001,2026-06-29 09:00:00,442.7,1014.0,218.02,98.04,61.46,0.97,25.5,57.0
FAC-001,2026-06-29 10:00:00,479.76,1267.8,259.35,115.48,83.94,0.97,27.6,53.8
FAC-001,2026-06-29 11:00:00,518.32,1105.5,281.62,94.36,103.42,0.94,26.8,55.4
FAC-001,2026-06-29 12:00:00,503.93,1384.0,217.11,100.83,107.91,0.96,28.4,48.5
FAC-001,2026-06-29 13:00:00,478.89,1094.8,253.3,104.34,115.58,0.96,26.6,58.4
FAC-001,2026-06-29 14:00:00,475.69,1169.8,223.16,109.21,87.97,0.94,25.8,56.8
FAC-001,2026-06-29 15:00:00,541.08,1113.4,285.4,102.32,84.78,0.92,26.2,54.3
FAC-001,2026-06-29 16:00:00,484.32,1145.4,225.49,120.98,56.63,0.93,25.6,40.5
FAC-001,2026-06-29 17:00:00,481.41,1034.4,247.97,95.86,32.82,0.95,23.3,51.0
FAC-001,2026-06-29 18:00:00,427.04,941.9,238.25,89.1,0.0,0.86,21.6,56.6
FAC-001,2026-06-29 19:00:00,447.16,1162.2,203.06,107.68,0.0,0.97,21.2,50.7
FAC-001,2026-06-29 20:00:00,162.84,425.6,89.51,36.34,0.0,0.95,17.9,52.1
FAC-001,2026-06-29 21:00:00,167.57,412.1,82.76,30.92,0.0,0.94,17.2,46.4
FAC-001,2026-06-29 22:00:00,237.74,534.9,114.36,52.78,0.0,0.97,17.6,36.0
FAC-001,2026-06-29 23:00:00,164.87,353.2,76.08,41.06,0.0,0.95,16.8,49.0
FAC-001,2026-06-30 00:00:00,248.11,512.1,123.39,50.75,0.0,0.93,14.9,49.2
FAC-001,2026-06-30 01:00:00,184.46,390.2,84.12,35.37,0.0,0.96,14.8,58.4
FAC-001,2026-06-30 02:00:00,177.16,452.5,92.51,42.69,0.0,0.98,17.7,37.0
FAC-001,2026-06-30 03:00:00,177.34,443.9,95.1,37.54,0.0,0.96,16.5,36.5
FAC-001,2026-06-30 04:00:00,166.41,456.4,90.42,32.51,0.0,0.94,19.9,51.5
FAC-001,2026-06-30 05:00:00,177.56,489.6,92.95,34.8,0.0,0.99,19.5,52.0
FAC-001,2026-06-30 06:00:00,162.78,433.8,75.45,34.57,0.0,0.97,21.8,43.6
FAC-001,2026-06-30 07:00:00,189.73,447.0,82.57,45.67,0.0,0.97,24.7,57.5
FAC-001,2026-06-30 08:00:00,401.15,998.3,203.39,97.83,28.15,0.96,23.9,52.9
FAC-001,2026-06-30 09:00:00,420.34,1116.1,193.73,104.24,53.66,0.95,27.4,46.1
FAC-001,2026-06-30 10:00:00,457.36,1252.2,231.92,87.56,78.57,0.94,26.7,54.3
FAC-001,2026-06-30 11:00:00,525.28,1135.8,256.86,103.23,88.09,0.96,28.8,45.8
FAC-001,2026-06-30 12:00:00,512.76,1059.6,267.6,98.29,97.95,0.97,27.9,56.1
FAC-001,2026-06-30 13:00:00,518.0,1157.3,281.21,100.7,96.71,0.92,29.1,36.0
FAC-001,2026-06-30 14:00:00,507.11,1049.7,279.62,102.5,96.93,0.93,28.6,35.1
FAC-001,2026-06-30 15:00:00,514.53,1230.7,279.3,108.99,80.68,0.97,24.8,42.7
FAC-001,2026-06-30 16:00:00,465.25,1174.4,240.79,115.33,52.61,0.95,24.0,52.3
FAC-001,2026-06-30 17:00:00,501.19,1336.0,260.03,107.66,30.72,0.88,24.1,51.9
FAC-001,2026-06-30 18:00:00,454.31,1142.0,218.62,102.49,0.0,0.99,23.4,45.2
FAC-001,2026-06-30 19:00:00,434.8,1162.0,219.01,100.74,0.0,0.95,20.9,55.2
FAC-001,2026-06-30 20:00:00,184.39,392.1,89.73,43.75,0.0,0.84,18.6,44.9
FAC-001,2026-06-30 21:00:00,172.86,399.1,84.41,33.99,0.0,0.94,18.1,51.7
FAC-001,2026-06-30 22:00:00,174.97,422.3,83.88,42.07,0.0,0.84,16.4,45.0
FAC-001,2026-06-30 23:00:00,176.95,464.6,90.07,41.33,0.0,0.97,14.8,39.9
FAC-001,2026-07-01 00:00:00,261.22,544.2,142.82,63.97,0.0,0.99,14.8,47.1
FAC-001,2026-07-01 01:00:00,169.94,412.6,79.86,40.14,0.0,0.94,16.9,41.8
FAC-001,2026-07-01 02:00:00,165.35,358.9,74.99,37.65,0.0,0.96,15.6,49.2
FAC-001,2026-07-01 03:00:00,189.04,460.5,93.17,44.69,0.0,0.92,19.1,50.0
FAC-001,2026-07-01 04:00:00,186.82,463.3,85.87,36.4,0.0,0.95,20.2,43.8
FAC-001,2026-07-01 05:00:00,183.9,431.3,85.65,43.69,0.0,0.97,20.8,46.3
FAC-001,2026-07-01 06:00:00,166.65,366.0,87.62,40.06,0.0,0.86,22.3,48.7
FAC-001,2026-07-01 07:00:00,172.93,369.8,87.72,37.14,0.0,0.97,23.3,52.9
FAC-001,2026-07-01 08:00:00,448.7,1102.2,200.43,84.04,31.39,0.94,23.8,57.4
FAC-001,2026-07-01 09:00:00,430.53,1039.2,197.81,88.19,52.31,0.92,25.4,48.5
FAC-001,2026-07-01 10:00:00,479.2,1208.6,239.26,97.14,77.58,0.99,27.4,53.3
FAC-001,2026-07-01 11:00:00,454.17,1152.1,228.49,112.2,90.17,0.93,26.6,46.3
FAC-001,2026-07-01 12:00:00,491.05,1084.7,253.6,115.73,114.79,0.95,29.5,58.2
FAC-001,2026-07-01 13:00:00,538.99,1392.6,268.27,120.55,96.21,0.93,28.6,52.7
FAC-001,2026-07-01 14:00:00,494.93,1343.5,229.75,101.56,88.38,0.96,26.9,46.2
FAC-001,2026-07-01 15:00:00,504.59,1338.7,277.28,108.38,88.74,0.93,25.1,55.4
FAC-001,2026-07-01 16:00:00,518.1,1170.6,281.25,122.49,61.04,0.93,24.0,52.4
FAC-001,2026-07-01 17:00:00,503.51,1339.7,258.46,119.62,27.66,0.98,23.9,54.1
FAC-001,2026-07-01 18:00:00,443.23,925.9,213.56,84.32,0.0,0.92,23.4,48.7
FAC-001,2026-07-01 19:00:00,411.51,969.7,193.63,88.65,0.0,0.93,19.6,50.5
FAC-001,2026-07-01 20:00:00,166.2,394.1,72.79,39.0,0.0,0.92,17.7,52.4
FAC-001,2026-07-01 21:00:00,168.66,380.9,75.64,31.79,0.0,0.93,16.4,47.7
FAC-001,2026-07-01 22:00:00,184.84,460.1,94.26,37.23,0.0,0.96,15.7,57.2
FAC-001,2026-07-01 23:00:00,167.4,441.2,79.99,34.98,0.0,0.97,14.7,45.4
FAC-001,2026-07-02 00:00:00,162.46,347.5,75.35,37.89,0.0,0.96,14.5,41.0
FAC-001,2026-07-02 01:00:00,184.49,390.9,102.34,39.51,0.0,0.96,17.2,37.5
FAC-001,2026-07-02 02:00:00,166.15,395.9,78.46,38.48,0.0,0.95,16.7,54.6
FAC-001,2026-07-02 03:00:00,188.82,478.7,100.51,38.16,0.0,0.95,18.8,36.0
FAC-001,2026-07-02 04:00:00,174.92,469.6,89.71,39.56,0.0,0.96,17.7,48.0
FAC-001,2026-07-02 05:00:00,182.69,378.2,90.72,41.58,0.0,0.93,19.2,36.8
FAC-001,2026-07-02 06:00:00,273.84,627.6,144.01,54.98,0.0,0.97,21.1,39.4
FAC-001,2026-07-02 07:00:00,180.51,378.9,95.56,35.84,0.0,0.99,24.4,50.6
FAC-001,2026-07-02 08:00:00,396.41,992.5,176.71,88.42,31.71,0.96,26.4,55.0
FAC-001,2026-07-02 09:00:00,477.07,1252.1,242.47,105.32,60.53,0.97,25.8,58.2
FAC-001,2026-07-02 10:00:00,458.33,1246.2,222.83,96.6,82.32,0.94,26.3,57.2
FAC-001,2026-07-02 11:00:00,471.82,1274.7,252.93,113.38,103.85,0.94,27.7,56.0
FAC-001,2026-07-02 12:00:00,525.59,1444.8,270.84,101.13,106.32,0.99,27.0,38.3
FAC-001,2026-07-02 13:00:00,537.01,1378.8,245.82,115.68,112.87,0.96,27.8,42.4
FAC-001,2026-07-02 14:00:00,526.47,1134.7,286.15,118.21,102.11,0.83,27.9,59.8
FAC-001,2026-07-02 15:00:00,495.39,1272.1,264.54,96.25,81.34,0.96,25.8,54.6
FAC-001,2026-07-02 16:00:00,449.88,983.3,237.95,82.09,60.5,0.99,24.5,38.7
FAC-001,2026-07-02 17:00:00,496.1,1270.0,277.58,102.09,29.65,0.98,23.2,45.3
FAC-001,2026-07-02 18:00:00,407.83,859.3,208.22,83.56,0.0,0.96,22.4,36.6
FAC-001,2026-07-02 19:00:00,420.09,1061.6,211.26,93.36,0.0,0.98,21.4,47.5
FAC-001,2026-07-02 20:00:00,163.57,417.0,77.44,38.43,0.0,0.98,18.8,38.7
FAC-001,2026-07-02 21:00:00,174.14,430.3,76.89,34.03,0.0,0.97,19.1,51.1
FAC-001,2026-07-02 22:00:00,179.83,419.9,95.69,33.86,0.0,0.98,17.0,49.7
FAC-001,2026-07-02 23:00:00,172.12,354.1,81.5,31.3,0.0,0.98,16.3,42.5
FAC-001,2026-07-03 00:00:00,169.22,447.8,82.22,40.8,0.0,0.93,15.9,47.1
FAC-001,2026-07-03 01:00:00,164.19,386.6,86.14,35.26,0.0,0.97,15.2,50.3
FAC-001,2026-07-03 02:00:00,183.08,382.6,94.36,45.21,0.0,0.92,16.1,41.2
FAC-001,2026-07-03 03:00:00,168.95,399.4,78.62,39.39,0.0,0.97,17.7,35.8
FAC-001,2026-07-03 04:00:00,187.45,437.9,84.0,40.73,0.0,0.94,17.6,51.6
FAC-001,2026-07-03 05:00:00,177.69,416.1,98.05,32.63,0.0,0.94,21.9,41.4
FAC-001,2026-07-03 06:00:00,167.5,458.9,84.34,35.59,0.0,0.96,20.8,38.8
FAC-001,2026-07-03 07:00:00,168.99,358.7,91.35,37.06,0.0,0.98,22.3,52.7
FAC-001,2026-07-03 08:00:00,388.16,1056.1,190.04,83.04,27.87,0.98,24.9,45.3
FAC-001,2026-07-03 09:00:00,446.27,1058.0,195.51,96.34,61.23,0.92,25.3,41.5
FAC-001,2026-07-03 10:00:00,455.19,1216.3,240.51,98.48,75.42,0.98,26.4,46.3
FAC-001,2026-07-03 11:00:00,509.81,1373.8,221.02,94.09,96.05,0.96,26.6,51.4
FAC-001,2026-07-03 12:00:00,493.69,1193.1,262.07,122.19,98.75,0.94,28.2,50.9
FAC-001,2026-07-03 13:00:00,502.52,1276.9,275.86,109.2,97.73,0.98,28.9,57.7
FAC-001,2026-07-03 14:00:00,550.56,1477.5,246.81,106.89,90.35,0.97,27.0,50.4
FAC-001,2026-07-03 15:00:00,534.12,1250.3,285.47,115.03,88.32,0.99,26.6,39.1
FAC-001,2026-07-03 16:00:00,482.88,1168.4,217.82,87.34,58.25,0.97,23.7,53.3
FAC-001,2026-07-03 17:00:00,494.72,1121.2,265.41,107.78,31.3,0.95,23.4,43.9
FAC-001,2026-07-03 18:00:00,466.32,1228.6,220.84,89.61,0.0,0.93,20.9,43.7
FAC-001,2026-07-03 19:00:00,432.56,992.2,222.62,96.66,0.0,0.98,21.9,50.9
FAC-001,2026-07-03 20:00:00,180.96,378.2,85.46,41.27,0.0,0.93,18.2,55.9
FAC-001,2026-07-03 21:00:00,180.02,406.8,93.65,38.86,0.0,0.84,18.2,58.5
FAC-001,2026-07-03 22:00:00,183.49,408.7,97.71,41.57,0.0,0.98,17.0,37.8
FAC-001,2026-07-03 23:00:00,174.88,404.7,94.85,38.17,0.0,0.99,16.0,36.1
FAC-001,2026-07-04 00:00:00,153.63,345.7,71.65,36.88,0.0,0.98,16.9,35.5
FAC-001,2026-07-04 01:00:00,149.22,334.7,70.08,35.52,0.0,0.98,16.8,48.5
FAC-001,2026-07-04 02:00:00,138.05,311.6,59.58,29.38,0.0,0.96,16.2,53.6
FAC-001,2026-07-04 03:00:00,153.28,378.2,82.89,34.76,0.0,0.98,16.5,41.0
FAC-001,2026-07-04 04:00:00,133.28,354.0,67.41,33.28,0.0,0.96,20.0,50.0
FAC-001,2026-07-04 05:00:00,134.64,355.1,73.82,30.54,0.0,0.98,20.5,45.8
FAC-001,2026-07-04 06:00:00,142.49,382.2,75.61,31.65,0.0,0.95,22.4,49.8
FAC-001,2026-07-04 07:00:00,137.95,329.9,68.51,25.84,0.0,0.97,23.9,53.6
FAC-001,2026-07-04 08:00:00,212.46,505.7,93.32,42.03,29.1,0.92,24.3,59.3
FAC-001,2026-07-04 09:00:00,220.89,483.5,100.61,49.2,54.87,0.82,25.4,35.9
FAC-001,2026-07-04 10:00:00,227.92,513.1,121.79,50.15,80.63,0.99,26.0,50.4
FAC-001,2026-07-04 11:00:00,238.23,606.4,118.15,57.46,96.65,0.99,27.1,44.9
FAC-001,2026-07-04 12:00:00,248.08,561.3,135.95,57.05,107.71,0.98,29.0,35.0
FAC-001,2026-07-04 13:00:00,237.16,601.0,109.92,43.68,107.62,0.93,27.7,44.2
FAC-001,2026-07-04 14:00:00,252.2,578.9,133.07,46.65,88.23,0.99,27.7,44.0
FAC-001,2026-07-04 15:00:00,231.94,619.1,118.91,56.58,82.32,0.97,27.5,36.7
FAC-001,2026-07-04 16:00:00,230.29,550.4,99.38,48.26,55.04,0.96,23.9,49.0
FAC-001,2026-07-04 17:00:00,242.53,569.8,124.85,58.01,31.19,0.97,23.0,54.7
FAC-001,2026-07-04 18:00:00,232.1,545.5,124.62,55.71,0.0,0.94,21.6,50.0
FAC-001,2026-07-04 19:00:00,214.27,503.5,102.57,41.07,0.0,0.93,20.0,38.9
FAC-001,2026-07-04 20:00:00,213.67,498.9,109.57,39.53,0.0,0.94,19.3,44.1
FAC-001,2026-07-04 21:00:00,155.24,332.4,75.92,35.42,0.0,0.85,19.1,44.6
FAC-001,2026-07-04 22:00:00,133.19,273.9,63.99,25.47,0.0,0.97,16.2,57.5
FAC-001,2026-07-04 23:00:00,154.5,382.3,72.74,37.42,0.0,0.98,15.6,59.0
FAC-001,2026-07-05 00:00:00,141.36,304.1,67.04,30.8,0.0,0.96,16.8,55.8
FAC-001,2026-07-05 01:00:00,139.45,290.3,64.66,27.0,0.0,0.94,17.6,48.9
FAC-001,2026-07-05 02:00:00,145.85,363.3,65.35,30.79,0.0,0.95,18.3,57.0
FAC-001,2026-07-05 03:00:00,145.6,338.4,74.36,28.26,0.0,0.92,17.9,40.7
FAC-001,2026-07-05 04:00:00,153.43,409.1,80.38,33.35,0.0,0.93,17.9,54.9
FAC-001,2026-07-05 05:00:00,152.69,362.4,84.4,29.07,0.0,0.99,21.5,49.7
FAC-001,2026-07-05 06:00:00,139.06,322.4,63.47,32.45,0.0,0.96,22.2,56.6
FAC-001,2026-07-05 07:00:00,141.87,387.1,76.27,33.13,0.0,0.93,24.6,46.0
FAC-001,2026-07-05 08:00:00,221.08,532.3,96.86,53.47,29.65,0.96,23.6,46.9
FAC-001,2026-07-05 09:00:00,229.42,527.3,119.31,43.45,55.09,0.98,25.4,58.9
FAC-001,2026-07-05 10:00:00,366.25,941.7,238.06,73.48,72.19,0.98,26.1,53.8
FAC-001,2026-07-05 11:00:00,250.47,526.9,132.65,59.92,99.1,0.95,27.5,45.2
FAC-001,2026-07-05 12:00:00,245.57,513.7,109.14,58.1,115.24,0.99,27.4,36.9
FAC-001,2026-07-05 13:00:00,267.55,623.4,139.64,49.1,95.85,0.94,27.1,55.1
FAC-001,2026-07-05 14:00:00,251.63,554.3,137.84,50.96,96.3,0.96,27.5,43.9
FAC-001,2026-07-05 15:00:00,236.48,582.2,129.01,50.89,79.55,0.96,26.8,41.0
